Symbol,Name,Exchange,Market_Category,ETF,Source
AAPL,AAPL Corporation,NASDAQ,Q,False,Fallback List
ABNB,ABNB Corporation,NASDAQ,Q,False,Fallback List
ADBE,ADBE Corporation,NASDAQ,Q,False,Fallback List
ADI,ADI Corporation,NASDAQ,Q,False,Fallback List
ADP,ADP Corporation,NASDAQ,Q,False,Fallback List
ADSK,ADSK Corporation,NASDAQ,Q,False,Fallback List
AFRM,AFRM Corporation,NASDAQ,Q,False,Fallback List
ALGN,ALGN Corporation,NASDAQ,Q,False,Fallback List
ALXN,ALXN Corporation,NASDAQ,Q,False,Fallback List
AMAT,AMAT Corporation,NASDAQ,Q,False,Fallback List
AMD,AMD Corporation,NASDAQ,Q,False,Fallback List
AMGN,AMGN Corporation,NASDAQ,Q,False,Fallback List
AMZN,AMZN Corporation,NASDAQ,Q,False,Fallback List
AVGO,AVGO Corporation,NASDAQ,Q,False,Fallback List
BE,BE Corporation,NASDAQ,Q,False,Fallback List
BIDU,BIDU Corporation,NASDAQ,Q,False,Fallback List
BIIB,BIIB Corporation,NASDAQ,Q,False,Fallback List
BILI,BILI Corporation,NASDAQ,Q,False,Fallback List
BKNG,BKNG Corporation,NASDAQ,Q,False,Fallback List
BLDP,BLDP Corporation,NASDAQ,Q,False,Fallback List
BMRN,BMRN Corporation,NASDAQ,Q,False,Fallback List
BNTX,BNTX Corporation,NASDAQ,Q,False,Fallback List
CCL,CCL Corporation,NASDAQ,Q,False,Fallback List
CDNS,CDNS Corporation,NASDAQ,Q,False,Fallback List
CELG,CELG Corporation,NASDAQ,Q,False,Fallback List
CHRW,CHRW Corporation,NASDAQ,Q,False,Fallback List
CHTR,CHTR Corporation,NASDAQ,Q,False,Fallback List
CMCSA,CMCSA Corporation,NASDAQ,Q,False,Fallback List
COIN,COIN Corporation,NASDAQ,Q,False,Fallback List
COST,COST Corporation,NASDAQ,Q,False,Fallback List
CRWD,CRWD Corporation,NASDAQ,Q,False,Fallback List
CSCO,CSCO Corporation,NASDAQ,Q,False,Fallback List
CSX,CSX Corporation,NASDAQ,Q,False,Fallback List
CTSH,CTSH Corporation,NASDAQ,Q,False,Fallback List
DDOG,DDOG Corporation,NASDAQ,Q,False,Fallback List
