ticker,symbol,company_name,current_price,price_change_today,price_change_percent,price_change_week,price_change_month,price_change_year,dvav,volume,avg_volume_3mon,market_cap,bid_price,ask_price,bid_ask_spread,days_range,week_52_low,week_52_high,one_year_target,pe_ratio,dividend_yield,last_updated,name,days_low,days_high,volume_today,earnings_per_share,book_value,price_to_book,exchange,change_percent,shares_available,market_cap_change_3mon,pe_change_3mon,price_change,created_at
AACB,AACB,AACB,10.220000267028809,0.030000686645507812,0.2944130312160359,0.07000064849853516,0.09000015258789062,,0.0001191412300140586651416589225,5,41967,282838507.3900223,,,,10.22 - 10.22,9.850000381469727,10.220000267028809,,,,2025-10-16T19:05:37.053851+00:00,AACB,10.220000267028809,10.220000267028809,5,,,,NGM,0.2944130312160359,27675000,,,0.030000686645507812,2025-10-16T19:05:37.053869+00:00
AACI,AACI,AACI,10.488900184631348,0.03390026092529297,0.3242492699442901,0.028900146484375,0.1989002227783203,,0.05750743141541044860788599868,7603,132209,413996890.2873993,,,,10.43 - 10.49,10.0,10.906000137329102,,,,2025-10-16T19:05:37.095460+00:00,AACI,10.430000305175781,10.488900184631348,7603,,,,NGM,0.3242492699442901,39470000,,,0.03390026092529297,2025-10-16T19:05:37.095480+00:00
AAPG,AAPG,AAPG,36.18000030517578,-1.3199996948242188,-3.519999186197917,1.2400016784667969,-2.770000457763672,,0.3093234601144395826321104005,2757,8913,3363414718.790169,,,,36.18 - 37.50,16.5,48.45000076293945,,,,2025-10-16T19:05:37.146564+00:00,AAPG,36.18000030517578,37.5,2757,,,,NGM,-3.519999186197917,92963369,,,-1.3199996948242188,2025-10-16T19:05:37.146578+00:00
AACIU,AACIU,Armada Acquisition Corp. II,10.920000076293945,0.36999988555908203,3.5071078565858262,0.36999988555908203,0.36999988555908203,,0.02682403433476394849785407725,200,7456,,0.0,0.0,,10.92 - 10.92,10.01,10.92,,,,2025-10-16T19:05:37.762315+00:00,Armada Acquisition Corp. II,10.92,10.92,200,,-0.272,-40.147057,NGM,3.5071078565858262,,,,0.36999988555908203,2025-10-16T19:05:37.762327+00:00
AACG,AACG,AACG,1.2000000476837158,0.009999990463256836,0.8403352926397583,0.03000009059906006,-1.2699999809265137,,0.1166112071908493740644730474,31084,266561,37949459.10797596,,,,1.16 - 1.22,0.699999988079071,2.5799999237060547,,,,2025-10-16T19:05:37.275422+00:00,AACG,1.159999966621399,1.2223000526428223,31084,,,,NCM,0.8403352926397583,31624548,,,0.009999990463256836,2025-10-16T19:05:37.275436+00:00
AACBR,AACBR,Artius II Acquisition Inc.,0.28999999165534973,4,0.0,,,,1,14239,14239,6422891.39518350359576646,0.22,0.25,0.03,0.29 - 0.29,0.29,0.29,,,,2025-10-16T19:05:37.794687+00:00,Artius II Acquisition Inc.,0.29,0.29,14239,,-0.441,-0.65759635,NGM,0.0,22147902,,,4,2025-10-16T19:05:37.794700+00:00
AAAA,AAAA,Amplius Aggressive Asset Allocation ETF,26.729999542236328,-0.0298004150390625,-0.11136262261542218,0.5089988708496094,0.34770965576171875,,0.1945589604270760111708494025,10241,52637,,26.5,26.54,0.03999999999999915,26.70 - 26.81,24.87,26.929,,25.696522,,2025-10-16T19:05:38.030861+00:00,Amplius Aggressive Asset Allocation ETF,26.7,26.81,10241,1.0402186,,,BTS,-0.11136262261542218,,,,-0.0298004150390625,2025-10-16T19:05:38.030872+00:00
AAPY,AAPY,Kurv Yield Premium Strategy Apple ETF,23.16010093688965,-0.03989982604980469,-0.1719820031796816,-0.014898300170898438,-0.2208995819091797,,0.4988919667590027700831024931,1801,3610,,23.18,23.31,0.129999999999999,23.16 - 23.31,18.84,29.29,,,0.1855,2025-10-16T19:05:38.038365+00:00,Kurv Yield Premium Strategy Apple ETF,23.1601,23.3062,1801,,,,BTS,-0.1719820031796816,,,,-0.03989982604980469,2025-10-16T19:05:38.038376+00:00
AACIW,AACIW,Armada Acquisition Corp. II,0.9157999753952026,0.015799999237060547,1.7555555172908441,,,,1,10640,10640,,0.0,0.0,,0.90 - 0.94,0.9,0.94,,,,2025-10-16T19:05:37.713941+00:00,Armada Acquisition Corp. II,0.9,0.94,10640,,-0.272,-3.3669114,NGM,1.7555555172908441,,,,0.015799999237060547,2025-10-16T19:05:37.713954+00:00
AAPW,AAPW,Roundhill AAPL WeeklyPay ETF,38.47999954223633,-0.002498626708984375,-0.006492891126805074,0.07564163208007812,1.0692481994628906,,0.6300932090545938748335552597,23660,37550,,38.57,38.73,0.1599999999999966,38.48 - 39.55,31.537,51.86,,,,2025-10-16T19:05:38.045491+00:00,Roundhill AAPL WeeklyPay ETF,38.48,39.5462,23660,,,,BTS,-0.006492891126805074,,,,-0.002498626708984375,2025-10-16T19:05:38.045501+00:00
AAAU,AAAU,Goldman Sachs Physical Gold ETF,42.345001220703125,0.0,0.0,2.7350006103515625,6.185001373291016,,1.320813835952312819995512085,3207920,2428745,,42.33,42.34,0.010000000000005116,41.90 - 42.43,25.28,42.43,,,,2025-10-16T19:05:37.910882+00:00,Goldman Sachs Physical Gold ETF,41.9,42.43,3207920,,,,BTS,0.0,,,,0.0,2025-10-16T19:05:37.910893+00:00
AAA,AAA,Alternative Access First Priority CLO Bond ETF,25.03499984741211,-0.024999618530273438,-0.09975905452132589,0.010000228881835938,0.07381248474121094,,2.291921467653685226906984229,21363,9321,,24.98,25.04,0.05999999999999872,24.93 - 25.06,24.33,25.4,,,0.053399999999999996,2025-10-16T19:05:37.853143+00:00,Alternative Access First Priority CLO Bond ETF,24.93,25.06,21363,,,,PCX,-0.09975905452132589,,,,-0.024999618530273438,2025-10-16T19:05:37.853154+00:00
AARD,AARD,AARD,13.295000076293945,-0.04500007629394531,-0.3373319023929361,-2.9650001525878906,2.3249998092651367,,0.9439392108284488488730436884,124970,132392,288408649.3750458,,,,13.03 - 14.09,4.880000114440918,19.579999923706055,,,,2025-10-16T19:05:37.363285+00:00,AARD,13.029999732971191,14.09000015258789,124970,,,,NMS,-0.3373319023929361,21693016,,,-0.04500007629394531,2025-10-16T19:05:37.363298+00:00
AAM,AAM,AAM,10.529999732971191,0.0,0.0,-0.011000633239746094,0.024999618530273438,,,0,39623,463046208.2576752,,,,10.53 - 10.53,10.020000457763672,10.789999961853027,,,,2025-10-16T19:05:37.254264+00:00,AAM,10.529999732971191,10.529999732971191,0,,,,NYQ,0.0,43974000,,,0.0,2025-10-16T19:05:37.254280+00:00
AACBU,AACBU,AACBU,10.649999618530273,-0.05000019073486328,-0.4672915105247767,0.25,0.34999942779541016,,2.091937765205091937765205092,1479,707,268113740.39649963,,,,10.65 - 10.70,10.0,12.149999618530273,,,,2025-10-16T19:05:37.293126+00:00,AACBU,10.649999618530273,10.699999809265137,1479,,,,NGM,-0.4672915105247767,25175000,,,-0.05000019073486328,2025-10-16T19:05:37.293140+00:00
AAPX,AAPX,T-Rex 2X Long Apple Daily Target ETF,26.09000015258789,0.010000228881835938,0.03834443600878229,0.21000099182128906,1.2299995422363281,,0.3674439978049727183092936206,82360,224143,,26.05,26.07,0.019999999999999574,25.88 - 26.58,13.719,40.44,,35.912155,,2025-10-16T19:05:37.955425+00:00,T-Rex 2X Long Apple Daily Target ETF,25.88,26.58,82360,0.72649497,,,BTS,0.03834443600878229,,,,0.010000228881835938,2025-10-16T19:05:37.955437+00:00
AAL,AAL,AAL,11.795000076293945,-0.005000114440917969,-0.042373850509290364,0.27499961853027344,-0.6849994659423828,,0.6887048011938943840867741883,52023156,75537670,7782680994.035944,,,,11.72 - 12.56,8.5,19.100000381469727,,,,2025-10-16T19:05:37.206476+00:00,AAL,11.724200248718262,12.5649995803833,52023156,,,,NMS,-0.042373850509290364,659828821,,,-0.005000114440917969,2025-10-16T19:05:37.206489+00:00
AAPR,AAPR,Innovator Equity Defined Protection ETF - 2 Yr To April 2026,27.850000381469727,0.019901275634765625,0.07150989854216168,0.020999908447265625,0.019001007080078125,,1.813791008505467800729040097,5971,3292,,27.85,27.91,0.05999999999999872,27.83 - 27.92,24.93,28.01,,27.957298,,2025-10-16T19:05:38.483167+00:00,Innovator Equity Defined Protection ETF - 2 Yr To April 2026,27.83,27.9245,5971,0.99616206,,,BTS,0.07150989854216168,,,,0.019901275634765625,2025-10-16T19:05:38.483221+00:00
AACT,AACT,AACT,9.489999771118164,0.6099996566772461,6.869365414593258,-1.9099998474121094,-1.9200000762939453,,,0,330493,587048666.88,,,,,8.470000267028809,11.619999885559082,,,,2025-10-16T19:05:37.466442+00:00,AACT,,,0,,,,NYQ,6.869365414593258,61859712,,,0.6099996566772461,2025-10-16T19:05:37.466455+00:00
A,A,A,142.08999633789062,-0.1200103759765625,-0.08438954385117826,5.470001220703125,15.623947143554688,,0.8040045256174585500562712213,1344503,1672258,40282574634.22043,,,,140.51 - 143.32,96.43000030517578,153.83999633789062,,,,2025-10-16T19:05:37.914680+00:00,A,140.50999450683594,143.3249969482422,1344503,,,,NYQ,-0.08438954385117826,283500427,,,-0.1200103759765625,2025-10-16T19:05:37.914692+00:00
AAPL,AAPL,AAPL,246.7100067138672,-0.05999755859375,-0.024317091408701103,1.44000244140625,7.720001220703125,,0.5120158070987205269660341895,27854367,54401381,3661272716536.407,,,,245.13 - 249.04,169.2100067138672,260.1000061035156,,,,2025-10-16T19:05:37.943012+00:00,AAPL,245.1300048828125,249.0399932861328,27854367,,,,NMS,-0.024317091408701103,14840390000,,,-0.05999755859375,2025-10-16T19:05:37.943024+00:00
AAMI,AAMI,AAMI,45.970001220703125,-0.1999969482421875,-0.43317512708221995,1.75,-2.3699989318847656,,0.2631340257823895922808513807,77749,295473,1646273684.325714,,,,45.97 - 47.72,22.600000381469727,51.64500045776367,,,,2025-10-16T19:05:37.738335+00:00,AAMI,45.970001220703125,47.71500015258789,77749,,,,NYQ,-0.43317512708221995,35811913,,,-0.1999969482421875,2025-10-16T19:05:37.738348+00:00
