ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,dividend_yield
MCRB,MCRB,MCRB,MCRB,NASDAQ,16.889999389648438,16.516000747680664,17.3700008392334,16.52 - 17.37,106000,106000,-1.5734292550380793,2025-10-30 12:46:21.509142+00:00,2025-10-30 12:46:21.509148+00:00,0.0
MCRI,MCRI,MCRI,MCRI,NASDAQ,89.05000305175781,88.4000015258789,93.06999969482422,88.40 - 93.07,76700,76700,-3.36407859228359,2025-10-30 12:46:21.515014+00:00,2025-10-30 12:46:21.515019+00:00,1.3475575057561018
MCTA,MCTA,MCTA,MCTA,NASDAQ,19.139999389648438,13.069999694824219,20.799999237060547,13.07 - 20.80,638500,638500,34.69387289420692,2025-10-30 12:46:21.519567+00:00,2025-10-30 12:46:21.519573+00:00,0.0
MDAI,MDAI,MDAI,MDAI,NASDAQ,2.180000066757202,2.119999885559082,2.2249999046325684,2.12 - 2.22,396300,396300,-0.9090900224102623,2025-10-30 12:46:21.529771+00:00,2025-10-30 12:46:21.529775+00:00,0.0
MDB,MDB,MDB,MDB,NASDAQ,340.5299987792969,330.0,343.2699890136719,330.00 - 343.27,1072100,1072100,1.2096556582009395,2025-10-30 12:46:21.542044+00:00,2025-10-30 12:46:21.542048+00:00,0.0
MDBH,MDBH,MDBH,MDBH,NASDAQ,4.039999961853027,4.019999980926514,4.28000020980835,4.02 - 4.28,3800,3800,-2.4154567115350485,2025-10-30 12:46:21.543443+00:00,2025-10-30 12:46:21.543446+00:00,0.0
MDCX,MDCX,MDCX,MDCX,NASDAQ,2.299999952316284,2.299999952316284,2.5,2.30 - 2.50,343600,343600,-4.564320730158356,2025-10-30 12:46:21.549995+00:00,2025-10-30 12:46:21.549999+00:00,0.0
MDGL,MDGL,MDGL,MDGL,NASDAQ,421.6000061035156,393.6099853515625,434.4800109863281,393.61 - 434.48,668100,668100,-1.7661556227276962,2025-10-30 12:46:21.552221+00:00,2025-10-30 12:46:21.552225+00:00,0.0
MDIA,MDIA,MDIA,MDIA,NASDAQ,1.1100000143051147,1.1100000143051147,1.2200000286102295,1.11 - 1.22,80700,80700,-6.722692358704943,2025-10-30 12:46:21.553463+00:00,2025-10-30 12:46:21.553465+00:00,0.0
MDLZ,MDLZ,MDLZ,MDLZ,NASDAQ,57.849998474121094,56.9900016784668,59.27000045776367,56.99 - 59.27,20840500,20840500,-3.919615755251148,2025-10-30 12:46:21.559203+00:00,2025-10-30 12:46:21.559208+00:00,3.301642265132347
MDWD,MDWD,MDWD,MDWD,NASDAQ,18.06999969482422,17.950000762939453,18.790000915527344,17.95 - 18.79,43500,43500,-1.0946948983488647,2025-10-30 12:46:21.564627+00:00,2025-10-30 12:46:21.564631+00:00,0.0
MDXG,MDXG,MDXG,MDXG,NASDAQ,7.190000057220459,6.739999771118164,7.360000133514404,6.74 - 7.36,3012400,3012400,4.505813046846616,2025-10-30 12:46:21.565986+00:00,2025-10-30 12:46:21.565989+00:00,0.0
MDXH,MDXH,MDXH,MDXH,NASDAQ,4.809999942779541,4.710000038146973,5.239999771118164,4.71 - 5.24,550800,550800,-3.8000011444091797,2025-10-30 12:46:21.567095+00:00,2025-10-30 12:46:21.567098+00:00,0.0
MEDP,MEDP,MEDP,MEDP,NASDAQ,584.5700073242188,578.5,592.3800048828125,578.50 - 592.38,264800,264800,0.6959119810282478,2025-10-30 12:46:21.572475+00:00,2025-10-30 12:46:21.572479+00:00,0.0
MEGL,MEGL,MEGL,MEGL,NASDAQ,1.399999976158142,1.3700000047683716,1.4600000381469727,1.37 - 1.46,39400,39400,-0.7092191985804456,2025-10-30 12:46:21.573719+00:00,2025-10-30 12:46:21.573721+00:00,0.0
MELI,MELI,MELI,MELI,NASDAQ,2295.919921875,2251.0,2319.280029296875,2251.00 - 2319.28,544400,544400,0.25238760809358823,2025-10-30 12:46:21.577969+00:00,2025-10-30 12:46:21.577972+00:00,0.0
MENS,MENS,MENS,MENS,NASDAQ,50.02000045776367,38.97999954223633,51.0,38.98 - 51.00,216400,216400,24.458825993892876,2025-10-30 12:46:21.580185+00:00,2025-10-30 12:46:21.580187+00:00,0.0
MEOH,MEOH,MEOH,MEOH,NASDAQ,33.9900016784668,33.880001068115234,34.810001373291016,33.88 - 34.81,524200,524200,-1.5353382742429147,2025-10-30 12:46:21.581469+00:00,2025-10-30 12:46:21.581472+00:00,2.1771108074666605
MERC,MERC,MERC,MERC,NASDAQ,2.299999952316284,2.25,2.430000066757202,2.25 - 2.43,823000,823000,-5.737709082829153,2025-10-30 12:46:21.605402+00:00,2025-10-30 12:46:21.605408+00:00,9.782608898465714
MESA,MESA,MESA,MESA,NASDAQ,1.3600000143051147,1.3600000143051147,1.4299999475479126,1.36 - 1.43,205100,205100,-5.555558315029741,2025-10-30 12:46:21.616549+00:00,2025-10-30 12:46:21.616555+00:00,0.0
MESO,MESO,MESO,MESO,NASDAQ,16.360000610351562,16.280000686645508,16.729999542236328,16.28 - 16.73,120800,120800,-2.2115896115279106,2025-10-30 12:46:21.624950+00:00,2025-10-30 12:46:21.624955+00:00,0.0
