ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,dividend_yield
AACB,AACB,AACB,AACB,NASDAQ,10.229999542236328,10.220000267028809,10.229999542236328,10.22 - 10.23,1300,1300,-0.09765848735701636,2025-10-30 12:23:27.323720+00:00,2025-10-30 12:23:27.323726+00:00,0.0
AACG,AACG,AACG,AACG,NASDAQ,1.309999942779541,1.2300000190734863,1.340000033378601,1.23 - 1.34,19600,19600,0.7692300638503318,2025-10-30 12:23:27.329500+00:00,2025-10-30 12:23:27.329506+00:00,0.0
AAL,AAL,AAL,AAL,NASDAQ,12.970000267028809,12.640000343322754,13.0,12.64 - 13.00,45261000,45261000,2.045635154220992,2025-10-30 12:23:27.331418+00:00,2025-10-30 12:23:27.331421+00:00,0.0
AAOI,AAOI,AAOI,AAOI,NASDAQ,35.47999954223633,34.75,38.9900016784668,34.75 - 38.99,6997800,6997800,-3.770001166033074,2025-10-30 12:23:27.343695+00:00,2025-10-30 12:23:27.343699+00:00,0.0
AAPG,AAPG,AAPG,AAPG,NASDAQ,33.400001525878906,33.27000045776367,33.4900016784668,33.27 - 33.49,3300,3300,-0.29850290782416045,2025-10-30 12:23:27.347199+00:00,2025-10-30 12:23:27.347204+00:00,0.0
AAPL,AAPL,AAPL,AAPL,NASDAQ,269.70001220703125,267.1099853515625,271.4100036621094,267.11 - 271.41,50984000,50984000,0.26022758625697023,2025-10-30 12:23:27.348723+00:00,2025-10-30 12:23:27.348725+00:00,0.3781979806574914
ABCL,ABCL,ABCL,ABCL,NASDAQ,5.619999885559082,5.489999771118164,5.789999961853027,5.49 - 5.79,3922400,3922400,-0.1776239552142354,2025-10-30 12:23:27.352985+00:00,2025-10-30 12:23:27.352988+00:00,0.0
ABEO,ABEO,ABEO,ABEO,NASDAQ,4.989999771118164,4.96999979019165,5.260000228881836,4.97 - 5.26,2634500,2634500,-5.492432332700832,2025-10-30 12:23:27.354584+00:00,2025-10-30 12:23:27.354586+00:00,0.0
ABL,ABL,ABL,ABL,NASDAQ,5.329999923706055,5.199999809265137,5.590000152587891,5.20 - 5.59,669900,669900,0.1879652579325937,2025-10-30 12:23:27.356330+00:00,2025-10-30 12:23:27.356333+00:00,0.0
ABLLL,ABLLL,ABLLL,ABLLL,NASDAQ,25.277999877929688,25.277999877929688,25.350000381469727,25.28 - 25.35,1600,1600,-0.7538258366741889,2025-10-30 12:23:27.357802+00:00,2025-10-30 12:23:27.357804+00:00,9.763430698307818
ABNB,ABNB,ABNB,ABNB,NASDAQ,126.4800033569336,125.46499633789062,128.67999267578125,125.46 - 128.68,5101300,5101300,-1.1952122611962457,2025-10-30 12:23:27.370825+00:00,2025-10-30 12:23:27.370829+00:00,0.0
ABP,ABP,ABP,ABP,NASDAQ,0.20100000500679016,0.19900000095367432,0.20600000023841858,0.20 - 0.21,1369800,1369800,-0.49505049096004855,2025-10-30 12:23:27.374328+00:00,2025-10-30 12:23:27.374330+00:00,0.0
ABTC,ABTC,ABTC,ABTC,NASDAQ,5.480000019073486,5.320000171661377,5.644000053405762,5.32 - 5.64,1828200,1828200,-3.521123508970877,2025-10-30 12:23:27.377651+00:00,2025-10-30 12:23:27.377654+00:00,0.0
ABTS,ABTS,ABTS,ABTS,NASDAQ,6.699999809265137,6.639999866485596,7.800000190734863,6.64 - 7.80,97000,97000,-13.992299845000378,2025-10-30 12:23:27.379220+00:00,2025-10-30 12:23:27.379223+00:00,0.0
