ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,dividend_yield
ADUS,ADUS,ADUS,ADUS,NASDAQ,122.75,119.67259979248047,122.83999633789062,119.67 - 122.84,144960,144960,1.8418661272603023,2025-10-29 22:29:43.198329+00:00,2025-10-29 22:29:43.198334+00:00,0.0
AFLG,AFLG,AFLG,AFLG,NASDAQ,39.34000015258789,39.26499938964844,39.58940124511719,39.26 - 39.59,109556,109556,-0.32936676993829217,2025-10-29 22:29:43.205794+00:00,2025-10-29 22:29:43.205799+00:00,0.6786985230411496
ROST,ROST,ROST,ROST,NASDAQ,158.33999633789062,157.9199981689453,160.82000732421875,157.92 - 160.82,1442936,1442936,-1.468575392139967,2025-10-29 22:29:57.428720+00:00,2025-10-29 22:29:57.428726+00:00,0.99974740218002
SBUX,SBUX,SBUX,SBUX,NASDAQ,84.16999816894531,83.28410339355469,84.88999938964844,83.28 - 84.89,13250879,13250879,-1.4748942195124064,2025-10-29 22:29:57.429724+00:00,2025-10-29 22:29:57.429726+00:00,2.8988951563269043
SE,SE,SE,SE,NASDAQ,155.92999267578125,154.8800048828125,159.5,154.88 - 159.50,3149185,3149185,-2.366798496764279,2025-10-29 22:29:57.430623+00:00,2025-10-29 22:29:57.430626+00:00,0.0
SEDG,SEDG,SEDG,SEDG,NASDAQ,36.29999923706055,35.869998931884766,38.189998626708984,35.87 - 38.19,4143673,4143673,-4.0697698449190485,2025-10-29 22:29:57.438802+00:00,2025-10-29 22:29:57.438805+00:00,0.0
SHOP,SHOP,SHOP,SHOP,NASDAQ,179.00999450683594,176.3000030517578,182.19000244140625,176.30 - 182.19,10736312,10736312,0.027932382148752214,2025-10-29 22:29:57.439853+00:00,2025-10-29 22:29:57.439855+00:00,0.0
SIRI,SIRI,SIRI,SIRI,NASDAQ,21.059999465942383,20.94499969482422,21.434999465942383,20.94 - 21.43,4555111,4555111,-1.588785788077698,2025-10-29 22:29:57.440740+00:00,2025-10-29 22:29:57.440742+00:00,5.128205258250574
SNPS,SNPS,SNPS,SNPS,NASDAQ,455.3399963378906,444.4549865722656,457.1499938964844,444.45 - 457.15,2236425,2236425,-0.3261585881335965,2025-10-29 22:29:57.441635+00:00,2025-10-29 22:29:57.441637+00:00,0.0
SOFI,SOFI,SOFI,SOFI,NASDAQ,30.899999618530273,30.139999389648438,32.564998626708984,30.14 - 32.56,94379402,94379402,-2.4005061040578575,2025-10-29 22:29:57.442425+00:00,2025-10-29 22:29:57.442427+00:00,0.0
