ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,avg_volume_3mon,dvav,market_cap,shares_available,pe_ratio,dividend_yield,one_year_target,week_52_low,week_52_high,earnings_per_share,book_value,price_to_book,bid_price,ask_price,bid_ask_spread,price_change_today,price_change_week,price_change_month,price_change_year,change_percent,market_cap_change_3mon,pe_change_3mon,last_updated,created_at,analytics_rsi14,analytics_atr14,analytics_sma_5,analytics_sma_20,analytics_ema_5,analytics_ema_20,analytics_macd,analytics_macd_signal,analytics_stochastic14,analytics_vwap,analytics_gap_open_vs_prev_close,analytics_gap_open_percent,analytics_premarket_active,analytics_postmarket_active,analytics_earnings_bucket,analytics_days_to_cover,analytics_dollar_volume,analytics_momentum_1m,analytics_dvav_percentile,analytics_momentum_1m_percentile,analytics_dollar_volume_percentile,analytics_liquidity_score,flag_large_cap,flag_high_dvav,flag_rsi_overbought,flag_rsi_oversold
BIDU,BIDU,BIDU,BIDU,NASDAQ,127.5999984741211,,,,3147432.0,3147432.0,,,,,,,,,,,,,,,,0.779998779296875,,,,0.615043984524397,,,2025-10-30 00:03:18.463022+00:00,2025-10-30 00:03:18.463031+00:00,,,,,,,,,,,,,,,,,401612318.3973999,,,,83.33,83.33,False,False,False,False
BE,BE,BE,BE,NASDAQ,133.7100067138672,,,,26088360.0,26088360.0,,,,,,,,,,,,,,,,20.430007934570312,,,,18.034964825850714,,,2025-10-30 00:03:18.516637+00:00,2025-10-30 00:03:18.516645+00:00,,,,,,,,,,,,,,,,,3488274790.753784,,,,91.67,91.67,False,False,False,False
BLDP,BLDP,BLDP,BLDP,NASDAQ,3.5399999618530273,3.391200065612793,3.7300000190734863,3.39 - 3.73,7815914.0,7815914.0,6619441.0,1.1807513655609287,,,,,,1.0,4.099999904632568,,,,,,,0.09999990463256836,,,,2.9069739235228065,,,2025-10-30 00:03:19.522451+00:00,2025-10-30 00:03:19.522460+00:00,,,,,,,,,,,,,,,,,27668335.261846542,,50.0,,41.67,45.84,False,False,False,False
BILI,BILI,BILI,BILI,NASDAQ,31.950000762939453,31.649999618530273,32.5,31.65 - 32.50,2992376.0,2992376.0,3227372.0,0.9271865778100572,,,,,,14.470000267028809,31.709999084472656,,,,,,,0.3600006103515625,,,,1.139603066200273,,,2025-10-30 00:03:19.523739+00:00,2025-10-30 00:03:19.523747+00:00,,,,,,,,,,,,,,,,,95606415.48300171,,0.0,,58.33,29.16,False,False,False,False
ENTG,ENTG,ENTG,ENTG,NASDAQ,94.54000091552734,,,,3739280.0,3739280.0,,,,,,,,,,,,,,,,2.8300018310546875,,,,3.085816006221979,,,2025-10-30 00:03:26.497027+00:00,2025-10-30 00:03:26.497037+00:00,,,,,,,,,,,,,,,,,353511534.6234131,,,,66.67,66.67,False,False,False,False
FCEL,FCEL,FCEL,FCEL,NASDAQ,7.8,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,2025-10-30 00:03:27.380240+00:00,2025-10-30 00:03:27.380249+00:00,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
INCY,INCY,INCY,INCY,NASDAQ,89.83,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,2025-10-30 00:03:31.690635+00:00,2025-10-30 00:03:31.690645+00:00,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
NCLH,NCLH,NCLH,NCLH,NASDAQ,22.219999313354492,,,,16547393.0,16547393.0,,,,,,,,,,,,,,,,-0.13000106811523438,,,,-0.5816602500956448,,,2025-10-30 00:03:42.077309+00:00,2025-10-30 00:03:42.077316+00:00,,,,,,,,,,,,,,,,,367683061.09780693,,,,75.0,75.0,False,False,False,False
AAT,AAT,AAT,AAT,NASDAQ,19.86,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,2025-10-30 00:04:10.132977+00:00,2025-10-30 00:04:10.132986+00:00,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
AAUC,AAUC,AAUC,AAUC,NASDAQ,17.299999237060547,,,,257810.0,257810.0,,,,,,,,,,,,,,,,0.03999900817871094,,,,0.23174396088233548,,,2025-10-30 00:04:10.442013+00:00,2025-10-30 00:04:10.442020+00:00,,,,,,,,,,,,,,,,,4460112.80330658,,,,25.0,25.0,False,False,False,False
ABTS,ABTS,ABTS,ABTS,NASDAQ,6.699999809265137,,,,96891.0,96891.0,,,,,,,,,,,,,,,,-1.0900001525878906,,,,-13.992299845000378,,,2025-10-30 00:04:19.891026+00:00,2025-10-30 00:04:19.891036+00:00,,,,,,,,,,,,,,,,,649169.6815195084,,,,0.0,0.0,False,False,False,False
AGQ,AGQ,AGQ,AGQ,NASDAQ,76.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,2025-10-30 00:05:11.823677+00:00,2025-10-30 00:05:11.823686+00:00,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
AMJB,AMJB,AMJB,AMJB,NASDAQ,29.37,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,2025-10-30 00:06:03.758398+00:00,2025-10-30 00:06:03.758406+00:00,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
AUTL,AUTL,AUTL,AUTL,NASDAQ,1.4600000381469727,,,,2161195.0,2161195.0,,,,,,,,,,,,,,,,-0.07999992370605469,,,,-5.194800369332063,,,2025-10-30 00:07:49.562898+00:00,2025-10-30 00:07:49.562907+00:00,,,,,,,,,,,,,,,,,3155344.7824430466,,,,16.67,16.67,False,False,False,False
AVSU,AVSU,AVSU,AVSU,NASDAQ,75.4956,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,2025-10-30 00:08:03.183852+00:00,2025-10-30 00:08:03.183860+00:00,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False
