ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,avg_volume_3mon,dvav,market_cap,shares_available,pe_ratio,dividend_yield,one_year_target,week_52_low,week_52_high,earnings_per_share,book_value,price_to_book,bid_price,ask_price,bid_ask_spread,price_change_today,price_change_week,price_change_month,price_change_year,change_percent,market_cap_change_3mon,pe_change_3mon,last_updated,created_at
ASBPW,ASBPW,ASBPW,ASBPW,NASDAQ,0.03500000014901161,0.031199999153614044,0.03500000014901161,0.03 - 0.04,19559,19559,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.221085+00:00,2025-10-17 17:30:54.221089+00:00
ASPSW,ASPSW,ASPSW,ASPSW,NASDAQ,0.6782000064849854,0.640500009059906,0.7196999788284302,0.64 - 0.72,12148,12148,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.249689+00:00,2025-10-17 17:30:54.249693+00:00
ASPSZ,ASPSZ,ASPSZ,ASPSZ,NASDAQ,0.6399999856948853,0.41999998688697815,0.6650000214576721,0.42 - 0.67,30255,30255,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.250550+00:00,2025-10-17 17:30:54.250553+00:00
ASTLW,ASTLW,ASTLW,ASTLW,NASDAQ,0.19009999930858612,0.1889999955892563,0.19499999284744263,0.19 - 0.19,4302,4302,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.286006+00:00,2025-10-17 17:30:54.286010+00:00
ATEST,ATEST,ATEST,ATEST,NASDAQ,24.517200469970703,24.517200469970703,24.517200469970703,24.52 - 24.52,1000,1000,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.292301+00:00,2025-10-17 17:30:54.292305+00:00
ATIIW,ATIIW,ATIIW,ATIIW,NASDAQ,0.5,0.5,0.5,0.50 - 0.50,2319,2319,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.298596+00:00,2025-10-17 17:30:54.298600+00:00
ATMCW,ATMCW,ATMCW,ATMCW,NASDAQ,0.0658000037074089,0.057999998331069946,0.0658000037074089,0.06 - 0.07,2400,2400,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.317094+00:00,2025-10-17 17:30:54.317098+00:00
ATMVR,ATMVR,ATMVR,ATMVR,NASDAQ,0.5799999833106995,0.5699999928474426,0.5899999737739563,0.57 - 0.59,3211,3211,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.319841+00:00,2025-10-17 17:30:54.319844+00:00
AUROW,AUROW,AUROW,AUROW,NASDAQ,0.5040000081062317,0.5009999871253967,0.5799000263214111,0.50 - 0.58,11869,11869,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.354466+00:00,2025-10-17 17:30:54.354470+00:00
AUUDW,AUUDW,AUUDW,AUUDW,NASDAQ,0.02879999950528145,0.009200000204145908,0.04490000009536743,0.01 - 0.04,77964,77964,,,,,,,,,,,,,,,,,,,,,,,2025-10-17 17:30:54.357224+00:00,2025-10-17 17:30:54.357227+00:00
