ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,avg_volume_3mon,dvav,market_cap,shares_available,pe_ratio,dividend_yield,one_year_target,week_52_low,week_52_high,earnings_per_share,book_value,price_to_book,bid_price,ask_price,bid_ask_spread,price_change_today,price_change_week,price_change_month,price_change_year,change_percent,market_cap_change_3mon,pe_change_3mon,last_updated,created_at
CGUI,CGUI,CGUI,CGUI,NASDAQ,25.336999893188477,25.329999923706055,25.34000015258789,25.33 - 25.34,15459,15459,,,,,,,,,,,,,,,,,,,,0.007897409860364158,,,2025-10-17 17:07:08.332049+00:00,2025-10-17 17:07:08.332057+00:00
CHPT,CHPT,CHPT,CHPT,NASDAQ,10.774999618530273,10.800000190734863,11.300000190734863,10.80 - 11.30,366074,366074,,,,,,,,,,,,,,,,,,,,-4.476951475138902,,,2025-10-17 17:07:08.333339+00:00,2025-10-17 17:07:08.333344+00:00
CHT,CHT,CHT,CHT,NASDAQ,43.595001220703125,43.44499969482422,43.63999938964844,43.44 - 43.64,31596,31596,,,,,,,,,,,,,,,,,,,,0.4261722504982789,,,2025-10-17 17:07:08.334120+00:00,2025-10-17 17:07:08.334126+00:00
CIMO,CIMO,CIMO,CIMO,NASDAQ,25.519899368286133,25.478300094604492,25.520000457763672,25.48 - 25.52,2581,2581,,,,,,,,,,,,,,,,,,,,0.27465070039788264,,,2025-10-17 17:07:08.340559+00:00,2025-10-17 17:07:08.340564+00:00
CINT,CINT,CINT,CINT,NASDAQ,4.210100173950195,4.179999828338623,4.283100128173828,4.18 - 4.28,55653,55653,,,,,,,,,,,,,,,,,,,,0.9616330197261925,,,2025-10-17 17:07:08.392112+00:00,2025-10-17 17:07:08.392118+00:00
CLCO,CLCO,CLCO,CLCO,NASDAQ,9.640000343322754,9.630000114440918,9.649999618530273,9.63 - 9.65,60071,60071,,,,,,,,,,,,,,,,,,,,-0.41322273338813675,,,2025-10-17 17:07:08.401057+00:00,2025-10-17 17:07:08.401062+00:00
CLPT,CLPT,CLPT,CLPT,NASDAQ,24.329999923706055,23.469999313354492,26.0,23.47 - 26.00,390761,390761,,,,,,,,,,,,,,,,,,,,-3.7579143082907573,,,2025-10-17 17:07:08.402814+00:00,2025-10-17 17:07:08.402818+00:00
CLS,CLS,CLS,CLS,NASDAQ,275.5,271.1400146484375,286.2300109863281,271.14 - 286.23,1608531,1608531,,,,,,,,,,,,,,,,,,,,-1.5579166653944647,,,2025-10-17 17:07:08.406972+00:00,2025-10-17 17:07:08.406975+00:00
CMA,CMA,CMA,CMA,NASDAQ,74.86000061035156,74.63999938964844,77.45999908447266,74.64 - 77.46,1566186,1566186,,,,,,,,,,,,,,,,,,,,1.367640023153689,,,2025-10-17 17:07:08.407588+00:00,2025-10-17 17:07:08.407590+00:00
CMSC,CMSC,CMSC,CMSC,NASDAQ,23.809999465942383,23.65999984741211,23.809999465942383,23.66 - 23.81,8230,8230,,,,,,,,,,,,,,,,,,,,0.3794272984536725,,,2025-10-17 17:07:08.408292+00:00,2025-10-17 17:07:08.408295+00:00
CMSD,CMSD,CMSD,CMSD,NASDAQ,24.190000534057617,24.040000915527344,24.20989990234375,24.04 - 24.21,7480,7480,,,,,,,,,,,,,,,,,,,,0.41511158504074946,,,2025-10-17 17:07:08.409791+00:00,2025-10-17 17:07:08.409795+00:00
CMTL,CMTL,CMTL,CMTL,NASDAQ,2.8980000019073486,2.8399999141693115,3.049999952316284,2.84 - 3.05,114943,114943,,,,,,,,,,,,,,,,,,,,-0.412374005821182,,,2025-10-17 17:07:08.468564+00:00,2025-10-17 17:07:08.468569+00:00
CNC,CNC,CNC,CNC,NASDAQ,35.209999084472656,35.125,36.084999084472656,35.12 - 36.08,2985458,2985458,,,,,,,,,,,,,,,,,,,,-1.2065104167781606,,,2025-10-17 17:07:08.475945+00:00,2025-10-17 17:07:08.475950+00:00
CNOBP,CNOBP,CNOBP,CNOBP,NASDAQ,24.100000381469727,24.010000228881836,24.148799896240234,24.01 - 24.15,2141,2141,,,,,,,,,,,,,,,,,,,,-0.1656959784177255,,,2025-10-17 17:07:08.476862+00:00,2025-10-17 17:07:08.476866+00:00
CNTB,CNTB,CNTB,CNTB,NASDAQ,1.7700999975204468,1.7300000190734863,1.850000023841858,1.73 - 1.85,29912,29912,,,,,,,,,,,,,,,,,,,,-3.2732264475508774,,,2025-10-17 17:07:08.477599+00:00,2025-10-17 17:07:08.477602+00:00
COE,COE,COE,COE,NASDAQ,47.099998474121094,46.7599983215332,47.5,46.76 - 47.50,7494,7494,,,,,,,,,,,,,,,,,,,,0.4692777324945231,,,2025-10-17 17:07:08.479192+00:00,2025-10-17 17:07:08.479196+00:00
COF,COF,COF,COF,NASDAQ,210.2449951171875,204.375,211.47999572753906,204.38 - 211.48,2476147,2476147,,,,,,,,,,,,,,,,,,,,3.4924939374196593,,,2025-10-17 17:07:08.495570+00:00,2025-10-17 17:07:08.495575+00:00
CAI,CAI,CAI,CAI,NASDAQ,30.68000030517578,30.360000610351562,32.19490051269531,30.36 - 32.19,306590,306590,,,,,,,,,,,,,,,,,,,,-3.9749622142006786,,,2025-10-17 17:07:08.323264+00:00,2025-10-17 17:07:08.323270+00:00
CALF,CALF,CALF,CALF,NASDAQ,42.39500045776367,42.30500030517578,42.630001068115234,42.31 - 42.63,379993,379993,,,,,,,,,,,,,,,,,,,,-0.1530820256959307,,,2025-10-17 17:07:08.361670+00:00,2025-10-17 17:07:08.361676+00:00
CAPN,CAPN,CAPN,CAPN,NASDAQ,10.460000038146973,10.460000038146973,10.460000038146973,10.46 - 10.46,1693,1693,,,,,,,,,,,,,,,,,,,,-0.09551316740007894,,,2025-10-17 17:07:08.367760+00:00,2025-10-17 17:07:08.367764+00:00
CAR,CAR,CAR,CAR,NASDAQ,150.53500366210938,149.60000610351562,153.05999755859375,149.60 - 153.06,168862,168862,,,,,,,,,,,,,,,,,,,,-0.4398103833034128,,,2025-10-17 17:07:08.382858+00:00,2025-10-17 17:07:08.382863+00:00
CARV,CARV,CARV,CARV,NASDAQ,2.8577001094818115,2.7701001167297363,2.880000114440918,2.77 - 2.88,22339,22339,,,,,,,,,,,,,,,,,,,,5.450187057408026,,,2025-10-17 17:07:08.389524+00:00,2025-10-17 17:07:08.389528+00:00
CAT,CAT,CAT,CAT,NASDAQ,529.6799926757812,528.030029296875,542.2100219726562,528.03 - 542.21,1308922,1308922,,,,,,,,,,,,,,,,,,,,-2.085187229869857,,,2025-10-17 17:07:08.404304+00:00,2025-10-17 17:07:08.404308+00:00
CBIO,CBIO,CBIO,CBIO,NASDAQ,12.579999923706055,11.6850004196167,12.675000190734863,11.69 - 12.68,54428,54428,,,,,,,,,,,,,,,,,,,,1.8623444140246799,,,2025-10-17 17:07:08.419766+00:00,2025-10-17 17:07:08.419770+00:00
CBL,CBL,CBL,CBL,NASDAQ,29.110000610351562,29.0,29.399999618530273,29.00 - 29.40,32292,32292,,,,,,,,,,,,,,,,,,,,-0.10294708279071424,,,2025-10-17 17:07:08.420196+00:00,2025-10-17 17:07:08.420199+00:00
CBNA,CBNA,CBNA,CBNA,NASDAQ,30.5,30.485000610351562,30.485000610351562,30.49 - 30.49,1830,1830,,,,,,,,,,,,,,,,,,,,-2.4936082785270415,,,2025-10-17 17:07:08.433629+00:00,2025-10-17 17:07:08.433635+00:00
CBOA,CBOA,CBOA,CBOA,NASDAQ,26.450000762939453,26.489900588989258,26.489900588989258,26.49 - 26.49,714,714,,,,,,,,,,,,,,,,,,,,-0.3578802527084243,,,2025-10-17 17:07:08.467428+00:00,2025-10-17 17:07:08.467431+00:00
CCAP,CCAP,CCAP,CCAP,NASDAQ,13.770000457763672,13.420000076293945,13.949999809265137,13.42 - 13.95,230668,230668,,,,,,,,,,,,,,,,,,,,2.6845683404018548,,,2025-10-17 17:07:08.469696+00:00,2025-10-17 17:07:08.469700+00:00
CCOI,CCOI,CCOI,CCOI,NASDAQ,44.09000015258789,43.47999954223633,44.845001220703125,43.48 - 44.85,363071,363071,,,,,,,,,,,,,,,,,,,,-1.6945336619615046,,,2025-10-17 17:07:08.494115+00:00,2025-10-17 17:07:08.494119+00:00
CDIO,CDIO,CDIO,CDIO,NASDAQ,4.25,4.239999771118164,4.385000228881836,4.24 - 4.39,21454,21454,,,,,,,,,,,,,,,,,,,,-1.847573328305803,,,2025-10-17 17:07:08.499477+00:00,2025-10-17 17:07:08.499480+00:00
CEFD,CEFD,CEFD,CEFD,NASDAQ,19.049999237060547,19.049999237060547,19.139999389648438,19.05 - 19.14,729,729,,,,,,,,,,,,,,,,,,,,-0.8019226836525706,,,2025-10-17 17:07:08.502940+00:00,2025-10-17 17:07:08.502944+00:00
CEG,CEG,CEG,CEG,NASDAQ,388.739990234375,382.8299865722656,402.010009765625,382.83 - 402.01,1552764,1552764,,,,,,,,,,,,,,,,,,,,-1.9645445663387717,,,2025-10-17 17:07:08.511278+00:00,2025-10-17 17:07:08.511284+00:00
CEMB,CEMB,CEMB,CEMB,NASDAQ,46.0,45.88999938964844,46.004798889160156,45.89 - 46.00,8446,8446,,,,,,,,,,,,,,,,,,,,-0.1302678495485431,,,2025-10-17 17:07:08.526532+00:00,2025-10-17 17:07:08.526536+00:00
CEP,CEP,CEP,CEP,NASDAQ,19.844999313354492,19.459999084472656,20.5,19.46 - 20.50,118951,118951,,,,,,,,,,,,,,,,,,,,-2.481577683777724,,,2025-10-17 17:07:08.529350+00:00,2025-10-17 17:07:08.529353+00:00
CEVA,CEVA,CEVA,CEVA,NASDAQ,27.19499969482422,27.190000534057617,28.469999313354492,27.19 - 28.47,134674,134674,,,,,,,,,,,,,,,,,,,,-4.444832854329226,,,2025-10-17 17:07:08.529970+00:00,2025-10-17 17:07:08.529972+00:00
CFR,CFR,CFR,CFR,NASDAQ,120.73500061035156,120.5199966430664,123.54000091552734,120.52 - 123.54,275959,275959,,,,,,,,,,,,,,,,,,,,0.004139197613698861,,,2025-10-17 17:07:08.551945+00:00,2025-10-17 17:07:08.551949+00:00
