ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,week_52_low,week_52_high,dividend_yield,avg_volume_3mon,dvav
CMA,CMA,CMA,CMA,NASDAQ,74.81999969482422,74.53500366210938,77.45999908447266,74.54 - 77.46,1735813,1735813,1.3134749366894543,2025-10-17 17:48:31.936783+00:00,2025-10-17 17:48:31.936786+00:00,,,,,
COCP,COCP,COCP,COCP,NASDAQ,1.0449999570846558,1.0299999713897705,1.0549999475479126,1.03 - 1.05,59639,59639,-2.3364573964402773,2025-10-17 17:48:31.939072+00:00,2025-10-17 17:48:31.939073+00:00,,,,,
COLL,COLL,COLL,COLL,NASDAQ,33.44200134277344,32.97999954223633,33.54999923706055,32.98 - 33.55,133373,133373,0.6985915829466371,2025-10-17 17:48:31.939861+00:00,2025-10-17 17:48:31.939862+00:00,,,,,
COOT,COOT,COOT,COOT,NASDAQ,2.109999895095825,2.009999990463257,2.319999933242798,2.01 - 2.32,1669947,1669947,-4.090915938054087,2025-10-17 17:48:31.940557+00:00,2025-10-17 17:48:31.940558+00:00,,,,,
BHFAL,BHFAL,BHFAL,BHFAL,NASDAQ,18.75,18.450000762939453,18.829999923706055,18.45 - 18.83,38938,38938,0.4823159342113951,2025-10-17 17:48:30.064000+00:00,2025-10-17 17:48:30.064004+00:00,17.40999984741211,25.469999313354492,8.341333333333335,,
BINC,BINC,BINC,BINC,NASDAQ,53.24610137939453,53.20000076293945,53.2599983215332,53.20 - 53.26,851009,851009,0.011456988609001927,2025-10-17 17:48:30.066552+00:00,2025-10-17 17:48:30.066553+00:00,,,,,
BINT,BINT,BINT,BINT,NASDAQ,27.549999237060547,27.530000686645508,27.549999237060547,27.53 - 27.55,4387,4387,-0.03628530143548749,2025-10-17 17:48:30.084850+00:00,2025-10-17 17:48:30.084852+00:00,,,,34968.0,0.12545756119881035
BITX,BITX,BITX,BITX,NASDAQ,46.540000915527344,45.09000015258789,47.75,45.09 - 47.75,9976981,9976981,-3.9818449691959468,2025-10-17 17:48:30.086780+00:00,2025-10-17 17:48:30.086782+00:00,,,,,
BIVI,BIVI,BIVI,BIVI,NASDAQ,1.850000023841858,1.8300000429153442,1.8799999952316284,1.83 - 1.88,67926,67926,0.0,2025-10-17 17:48:30.087590+00:00,2025-10-17 17:48:30.087593+00:00,,,,,
BL,BL,BL,BL,NASDAQ,49.75400161743164,49.279998779296875,50.09000015258789,49.28 - 50.09,229903,229903,0.028146237419417974,2025-10-17 17:48:30.089751+00:00,2025-10-17 17:48:30.089752+00:00,,,,752207.0,0.30563794274714273
BLBD,BLBD,BLBD,BLBD,NASDAQ,53.880001068115234,53.810001373291016,55.86000061035156,53.81 - 55.86,198925,198925,-2.550189589554036,2025-10-17 17:48:30.090126+00:00,2025-10-17 17:48:30.090127+00:00,,,,,
BLOX,BLOX,BLOX,BLOX,NASDAQ,24.459999084472656,24.149999618530273,24.719900131225586,24.15 - 24.72,309329,309329,-3.090335553560715,2025-10-17 17:48:30.091435+00:00,2025-10-17 17:48:30.091436+00:00,,,,,
BLUC,BLUC,BLUC,BLUC,NASDAQ,27.899999618530273,27.840099334716797,27.899999618530273,27.84 - 27.90,4041,4041,0.28756263329844073,2025-10-17 17:48:30.095704+00:00,2025-10-17 17:48:30.095705+00:00,25.110000610351562,28.389999389648438,0.2903225846146695,,
BMBL,BMBL,BMBL,BMBL,NASDAQ,5.328999996185303,5.28000020980835,5.369800090789795,5.28 - 5.37,629711,629711,-0.018760366511538028,2025-10-17 17:48:30.101296+00:00,2025-10-17 17:48:30.101298+00:00,,,,,
