ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,avg_volume_3mon,dvav,market_cap,shares_available,pe_ratio,dividend_yield,one_year_target,week_52_low,week_52_high,earnings_per_share,book_value,price_to_book,bid_price,ask_price,bid_ask_spread,price_change_today,price_change_week,price_change_month,price_change_year,change_percent,market_cap_change_3mon,pe_change_3mon,last_updated,created_at
ABNB,ABNB,ABNB,ABNB,NASDAQ,125.8499984741211,122.80500030517578,126.0,122.81 - 126.00,1877596,1877596,,,,,,,,,,,,,,,,,,,,2.408657416530177,,,2025-10-17 16:26:15.722268+00:00,2025-10-17 16:26:15.722272+00:00
ADSK,ADSK,ADSK,ADSK,NASDAQ,304.2214050292969,298.9100036621094,305.260009765625,298.91 - 305.26,544872,544872,,,,,,,,,,,,,,,,,,,,1.4680133405235196,,,2025-10-17 16:26:15.722769+00:00,2025-10-17 16:26:15.722771+00:00
CCL,CCL,CCL,CCL,NASDAQ,28.280000686645508,27.719999313354492,28.368999481201172,27.72 - 28.37,6787034,6787034,,,,,,,,,,,,,,,,,,,,0.2481446453196868,,,2025-10-17 16:26:15.723921+00:00,2025-10-17 16:26:15.723924+00:00
DXCM,DXCM,DXCM,DXCM,NASDAQ,66.38999938964844,65.41000366210938,66.4800033569336,65.41 - 66.48,1302800,1302800,,,,,,,,,,,,,,,,,,,,0.09045312368084403,,,2025-10-17 16:26:15.724842+00:00,2025-10-17 16:26:15.724846+00:00
HON,HON,HON,HON,NASDAQ,203.8800048828125,202.16000366210938,205.0,202.16 - 205.00,1581447,1581447,,,,,,,,,,,,,,,,,,,,0.3494643501826406,,,2025-10-17 16:26:15.753552+00:00,2025-10-17 16:26:15.753556+00:00
MAR,MAR,MAR,MAR,NASDAQ,262.55499267578125,258.9200134277344,263.07000732421875,258.92 - 263.07,602408,602408,,,,,,,,,,,,,,,,,,,,1.3569271212596559,,,2025-10-17 16:26:15.768200+00:00,2025-10-17 16:26:15.768204+00:00
MCHP,MCHP,MCHP,MCHP,NASDAQ,64.91999816894531,64.26000213623047,65.62999725341797,64.26 - 65.63,1390995,1390995,,,,,,,,,,,,,,,,,,,,-0.657995891684777,,,2025-10-17 16:26:15.787441+00:00,2025-10-17 16:26:15.787444+00:00
META,META,META,META,NASDAQ,712.780029296875,706.1199951171875,715.739990234375,706.12 - 715.74,5391837,5391837,,,,,,,,,,,,,,,,,,,,0.09971238296137977,,,2025-10-17 16:26:15.793752+00:00,2025-10-17 16:26:15.793756+00:00
MRNA,MRNA,MRNA,MRNA,NASDAQ,26.729999542236328,26.24169921875,26.940000534057617,26.24 - 26.94,3444134,3444134,,,,,,,,,,,,,,,,,,,,-1.5106848070471544,,,2025-10-17 16:26:15.794502+00:00,2025-10-17 16:26:15.794506+00:00
ROST,ROST,ROST,ROST,NASDAQ,156.75,155.16000366210938,157.28500366210938,155.16 - 157.29,682630,682630,,,,,,,,,,,,,,,,,,,,0.9921997419739963,,,2025-10-17 16:26:15.887145+00:00,2025-10-17 16:26:15.887149+00:00
