ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,market_cap,shares_available,avg_volume_3mon,week_52_low,week_52_high,dvav,dividend_yield
CDT,CDT,CDT,CDT,NASDAQ,3.490000009536743,3.4600000381469727,3.750200033187866,3.46 - 3.75,156867,156867,-4.904633869625707,2025-10-17 18:47:19.139661+00:00,2025-10-17 18:47:19.139663+00:00,5056301.0,1448797.0,683322.0,3.4000000953674316,2196.0,0.22956527083863829,0.0
CDTG,CDTG,CDTG,CDTG,NASDAQ,0.6509000062942505,0.6401000022888184,0.6600000262260437,0.64 - 0.66,9349,9349,3.3174620985414274,2025-10-17 18:47:19.144968+00:00,2025-10-17 18:47:19.144970+00:00,8022343.0,12325001.0,1303393.0,0.5199999809265137,4.639999866485596,0.007172817408103312,0.0
CDTX,CDTX,CDTX,CDTX,NASDAQ,101.05000305175781,98.44999694824219,102.30999755859375,98.45 - 102.31,464865,464865,-0.9507877114545245,2025-10-17 18:47:19.146120+00:00,2025-10-17 18:47:19.146122+00:00,2562431130.0,25358051.0,768329.0,10.369999885559082,121.20999908447266,0.6050337811015853,0.0
CDXS,CDXS,CDXS,CDXS,NASDAQ,2.6500000953674316,2.549999952316284,2.6700000762939453,2.55 - 2.67,410429,410429,0.3787875024959444,2025-10-17 18:47:19.152985+00:00,2025-10-17 18:47:19.152987+00:00,239660114.0,90267464.0,885606.0,1.899999976158142,6.079999923706055,0.46344424044100874,0.0
CDZI,CDZI,CDZI,CDZI,NASDAQ,5.135000228881836,5.130000114440918,5.48799991607666,5.13 - 5.49,694704,694704,-6.9746332133149185,2025-10-17 18:47:19.153651+00:00,2025-10-17 18:47:19.153653+00:00,421167707.0,82019024.0,699286.0,2.130000114440918,6.099999904632568,0.9934476022685997,0.0
CDZIP,CDZIP,CDZIP,CDZIP,NASDAQ,19.645000457763672,19.63050079345703,19.649999618530273,19.63 - 19.65,4320,4320,-0.27918935556210916,2025-10-17 18:47:19.154215+00:00,2025-10-17 18:47:19.154216+00:00,,,6998.0,14.960000038146973,20.200000762939453,0.6173192340668763,11.300585127360788
CE,CE,CE,CE,NASDAQ,39.93000030517578,39.350101470947266,40.119998931884766,39.35 - 40.12,587613,587613,-0.12506062439476984,2025-10-17 18:47:19.154717+00:00,2025-10-17 18:47:19.154718+00:00,4372483932.0,109503729.0,2118416.0,36.290000915527344,136.47000122070312,0.2773831957462557,1.9784622939198904
CECO,CECO,CECO,CECO,NASDAQ,48.61000061035156,48.310001373291016,50.47999954223633,48.31 - 50.48,149665,149665,-4.536523255420211,2025-10-17 18:47:19.155217+00:00,2025-10-17 18:47:19.155218+00:00,1717299691.0,35328115.0,517350.0,17.56999969482422,53.880001068115234,0.2892915821010921,0.0
CEE,CEE,CEE,CEE,NASDAQ,15.739999771118164,15.5,15.800000190734863,15.50 - 15.80,25786,25786,2.473959133688689,2025-10-17 18:47:19.155698+00:00,2025-10-17 18:47:19.155699+00:00,101654663.0,6458365.0,37164.0,10.140000343322754,18.700000762939453,0.6938435044666882,2.242693806436587
CEF,CEF,CEF,CEF,NASDAQ,39.900001525878906,39.119998931884766,40.900001525878906,39.12 - 40.90,2045429,2045429,-2.96691983875482,2025-10-17 18:47:19.156187+00:00,2025-10-17 18:47:19.156188+00:00,7727791198.0,193678970.0,819626.0,23.530000686645508,41.20000076293945,2.495563830332371,0.0
