ticker,symbol,company_name,name,exchange,current_price,days_low,days_high,days_range,volume,volume_today,change_percent,last_updated,created_at,market_cap,shares_available,avg_volume_3mon,week_52_low,week_52_high,dvav,dividend_yield
CDZI,CDZI,CDZI,CDZI,NASDAQ,5.190000057220459,5.130000114440918,5.48799991607666,5.13 - 5.49,641757,641757,-5.978259508085457,2025-10-17 18:05:00.025861+00:00,2025-10-17 18:05:00.025863+00:00,425678739.0,82019024.0,699286.0,2.130000114440918,6.099999904632568,0.9177318007224512,0.0
CE,CE,CE,CE,NASDAQ,39.72999954223633,39.350101470947266,40.119998931884766,39.35 - 40.12,534910,534910,-0.6253126634878795,2025-10-17 18:05:00.028551+00:00,2025-10-17 18:05:00.028553+00:00,,109503729.0,,,,,1.9884218703807526
CEGX,CEGX,CEGX,CEGX,NASDAQ,35.97999954223633,35.29999923706055,38.5,35.30 - 38.50,34994,34994,-4.435596058328695,2025-10-17 18:05:00.037212+00:00,2025-10-17 18:05:00.037213+00:00,,,,,,,0.0
CEPI,CEPI,CEPI,CEPI,NASDAQ,41.359901428222656,40.54999923706055,41.443199157714844,40.55 - 41.44,22119,22119,-0.20773468865567954,2025-10-17 18:05:00.045796+00:00,2025-10-17 18:05:00.045798+00:00,,,,31.350000381469727,52.15999984741211,,31.77231943554151
CGBDL,CGBDL,CGBDL,CGBDL,NASDAQ,25.420000076293945,25.31999969482422,25.420000076293945,25.32 - 25.42,15917,15917,0.31570609007231815,2025-10-17 18:05:00.057304+00:00,2025-10-17 18:05:00.057306+00:00,,,,,,,8.072383925418016
CGCT,CGCT,CGCT,CGCT,NASDAQ,10.0802001953125,10.0802001953125,10.096199989318848,10.08 - 10.10,4001,4001,-0.09712544229126821,2025-10-17 18:05:00.061556+00:00,2025-10-17 18:05:00.061558+00:00,278213525.0,27600000.0,80000.0,10.0,10.119999885559082,0.0500125,0.0
CGDG,CGDG,CGDG,CGDG,NASDAQ,34.724998474121094,34.584999084472656,34.75,34.58 - 34.75,292420,292420,0.24537842370186863,2025-10-17 18:05:00.062627+00:00,2025-10-17 18:05:00.062629+00:00,,,,,35.08000183105469,,1.95536365683652
CGDV,CGDV,CGDV,CGDV,NASDAQ,41.67499923706055,41.439998626708984,41.7400016784668,41.44 - 41.74,1768594,1768594,-0.01199872379706616,2025-10-17 18:05:00.063049+00:00,2025-10-17 18:05:00.063050+00:00,,,,30.940000534057617,42.6609992980957,,1.3389322380689679
CGHM,CGHM,CGHM,CGHM,NASDAQ,25.604999542236328,25.559999465942383,25.6299991607666,25.56 - 25.63,103122,103122,-0.01952779381509637,2025-10-17 18:05:00.065618+00:00,2025-10-17 18:05:00.065619+00:00,,,,,,,3.456356242225906
AKTX,AKTX,AKTX,AKTX,NASDAQ,0.786899983882904,0.7627999782562256,0.8100000023841858,0.76 - 0.81,66986,66986,2.1948056331190045,2025-10-17 18:05:05.609207+00:00,2025-10-17 18:05:05.609208+00:00,,32614731.0,,,,,0.0
ALTL,ALTL,ALTL,ALTL,NASDAQ,42.900001525878906,42.65489959716797,42.900001525878906,42.65 - 42.90,1747,1747,-0.1466371610619425,2025-10-17 18:05:05.645113+00:00,2025-10-17 18:05:05.645115+00:00,,,,,,,0.7342657081491711
ALVO,ALVO,ALVO,ALVO,NASDAQ,8.648099899291992,8.430000305175781,8.649999618530273,8.43 - 8.65,166733,166733,-1.1645725795200892,2025-10-17 18:05:05.647726+00:00,2025-10-17 18:05:05.647727+00:00,,311601154.0,,,,,0.0
AMAL,AMAL,AMAL,AMAL,NASDAQ,25.700000762939453,25.524999618530273,25.850000381469727,25.52 - 25.85,106031,106031,1.7418865006759912,2025-10-17 18:05:05.654891+00:00,2025-10-17 18:05:05.654893+00:00,773803327.0,30109078.0,172481.0,25.030000686645508,38.189998626708984,0.6147401742800657,2.10116725279909
AMBP,AMBP,AMBP,AMBP,NASDAQ,3.740000009536743,3.740000009536743,3.809999942779541,3.74 - 3.81,271341,271341,-1.3192599688533488,2025-10-17 18:05:05.670536+00:00,2025-10-17 18:05:05.670538+00:00,,605776608.0,,,,,10.695187138503409
AMCX,AMCX,AMCX,AMCX,NASDAQ,7.090000152587891,7.050000190734863,7.28000020980835,7.05 - 7.28,169406,169406,-2.8767127761654585,2025-10-17 18:05:05.672464+00:00,2025-10-17 18:05:05.672465+00:00,307591240.0,43383813.0,553816.0,5.409999847412109,10.600000381469727,0.3058885983792451,0.0
AOMD,AOMD,AOMD,AOMD,NASDAQ,25.423500061035156,25.299999237060547,25.423500061035156,25.30 - 25.42,2450,2450,0.5080054728350801,2025-10-17 18:05:05.748533+00:00,2025-10-17 18:05:05.748537+00:00,,,,,,,0.0
AP,AP,AP,AP,NASDAQ,2.089200019836426,2.089200019836426,2.1673998832702637,2.09 - 2.17,20322,20322,-1.9154972963558452,2025-10-17 18:05:05.752739+00:00,2025-10-17 18:05:05.752741+00:00,,20317030.0,,,,,0.0
APRP,APRP,APRP,APRP,NASDAQ,28.959999084472656,28.97010040283203,28.97010040283203,28.97 - 28.97,831,831,0.08985646367649194,2025-10-17 18:05:05.774351+00:00,2025-10-17 18:05:05.774353+00:00,,,,,,,0.0
BNO,BNO,BNO,BNO,NASDAQ,27.829999923706055,27.649999618530273,27.8700008392334,27.65 - 27.87,463648,463648,0.1799828503409025,2025-10-17 18:05:06.065991+00:00,2025-10-17 18:05:06.065993+00:00,,,,,,,0.0
BOCT,BOCT,BOCT,BOCT,NASDAQ,48.099998474121094,47.94990158081055,48.18000030517578,47.95 - 48.18,32280,32280,0.12489083565849345,2025-10-17 18:05:06.080538+00:00,2025-10-17 18:05:06.080541+00:00,,,,,48.7599983215332,,0.0
BOKF,BOKF,BOKF,BOKF,NASDAQ,107.50499725341797,105.03500366210938,107.55000305175781,105.04 - 107.55,123195,123195,2.7281373013960732,2025-10-17 18:05:06.085388+00:00,2025-10-17 18:05:06.085390+00:00,6838192927.0,63611097.0,223812.0,85.08000183105469,121.58000183105469,0.5504396547102032,2.1208316434122887
BOND,BOND,BOND,BOND,NASDAQ,94.0199966430664,93.8843002319336,94.06999969482422,93.88 - 94.07,274133,274133,-0.04252702165171286,2025-10-17 18:05:06.087885+00:00,2025-10-17 18:05:06.087887+00:00,,,,,,,5.009572610261674
BPI,BPI,BPI,BPI,NASDAQ,37.65999984741211,37.25830078125,37.86000061035156,37.26 - 37.86,26708,26708,-2.087724248463603,2025-10-17 18:05:06.103171+00:00,2025-10-17 18:05:06.103173+00:00,,,,,,,11.489644231364329
