type,parent_url,url,code,num_redirects,content_type,bytes,final_url
asset,https://tradescanpro.com/,https://api.retailtradescanner.com,200,0,text/html; charset=utf-8,,https://api.retailtradescanner.com/
asset,https://tradescanpro.com/,https://fonts.googleapis.com,404,0,text/html; charset=utf-8,,https://fonts.googleapis.com/
asset,https://tradescanpro.com/,https://fonts.googleapis.com/css2?family=Inter:wght@100..900&display=swap,200,0,text/css; charset=utf-8,,https://fonts.googleapis.com/css2?family=Inter:wght@100..900&display=swap
asset,https://tradescanpro.com/,https://fonts.gstatic.com,404,0,text/html; charset=UTF-8,,https://fonts.gstatic.com/
asset,https://tradescanpro.com/,https://o.sentry.io,200,2,text/html,,https://o.sentry.io/auth/login/o/
asset,https://tradescanpro.com/,https://plausible.io/js/script.js,200,0,application/javascript,,https://plausible.io/js/script.js
asset,https://tradescanpro.com/,https://tradescanpro.com/apple-touch-icon.png,200,0,image/png,,https://tradescanpro.com/apple-touch-icon.png
asset,https://tradescanpro.com/,https://tradescanpro.com/favicon-16x16.png,200,0,image/png,,https://tradescanpro.com/favicon-16x16.png
asset,https://tradescanpro.com/,https://tradescanpro.com/favicon-32x32.png,200,0,image/png,,https://tradescanpro.com/favicon-32x32.png
asset,https://tradescanpro.com/,https://tradescanpro.com/favicon.ico,200,0,image/vnd.microsoft.icon,,https://tradescanpro.com/favicon.ico
asset,https://tradescanpro.com/,https://tradescanpro.com/static/css/main.f966c475.css,200,0,text/css,,https://tradescanpro.com/static/css/main.f966c475.css
asset,https://tradescanpro.com/,https://tradescanpro.com/static/js/main.03f4a5c3.js,200,0,text/javascript,,https://tradescanpro.com/static/js/main.03f4a5c3.js
asset,https://tradescanpro.com/,https://www.paypal.com,200,1,text/html; charset=utf-8,,https://www.paypal.com/us/home
asset,https://tradescanpro.com/,https://www.paypalobjects.com,403,0,text/html; charset=utf-8,,https://www.paypalobjects.com/
